Company,State,District,Address,Contact,Website,Industry Certification,Printing Sector Category (Offset / Digital / Screen / Flexo / Gravure / Packaging / Publishing / 3D / Label / Signage),"Core Activities (Prepress, Production, Finishing, Quality Control, Design, R&D)"
BEAUTY CARD PRINTING,JOHOR,Johor Bahru,"NO. 8, JALAN PERMAS 9/7, TAMAN PERMAS JAYA, LIGHT INDUSTRIAL AREA, 81750 JOHOR BAHRU, JOHOR.",,When available,,,
BEST BOX PACKAGING SDN. BHD.,JOHOR,Johor Bahru,"NO. 59, JALAN BERTAM 5, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR",,When available,,,
BEST COMMERCIAL FORM PRINTING ( M ) SDN. BHD.,JOHOR,Johor Bahru,"NO. 61, JALAN BERTAM 5, TAMAN DAYA, 81100 JOHOR BAHRU, JOHOR",,When available,,,
BOON HWA PRINTERS SDN. BHD.,JOHOR,Kluang,"NO. 62 - 64, JALAN LAMBAK, 86000 KLUANG, JOHOR",,When available,,,
BP PLASTICS SDN. BHD.,JOHOR,Batu Pahat,"PLO 254 & PLO 255, JALAN WAWASAN 2, KAWASAN PERINDUSTRIAN SRI GADING, 83300 BATU PAHAT, JOHOR.",,When available,,,
BP PROGRESSIVE PRINTING SDN BHD.,JOHOR,Batu Pahat,"NO. 7, JALAN DAMAI UTAMA, TAMAN INDUSTRIAN DAMAI PLUS, 83000 BATU PAHAT, JOHOR.",,When available,,,
CACTUS MALAYSIA PRINTING & PUBLISHING SDN. BHD.,JOHOR,Gelang Patah,"NO. 24, JALAN MEGA 1/7, TAMAN PERINDUSTRIAN NUSA CEMERLANG, 81550 GELANG PATAH, JOHOR.",,When available,,,
CADWEE ENTERPRISE SDN. BHD.,JOHOR,Johor Bahru,"NO. 42 & 44, JALAN MUTIARA EMAS 7/5, TAMAN MOUNT AUSTIN, 81100",,When available,,,
CEKAP HEBAT SDN. BHD.,JOHOR,Batu Pahat,"NO.22 (TINGKAT BAWAH), JALAN JUTAWAN 2, TAMAN JUTA 82000 PONTIAN, JOHOR.",,When available,,,
CENTRAL LABEL (JOHOR) SDN. BHD.,JOHOR,Masai,"NO. 3, JALAN SRI PLENTONG, TAMAN PERINDUSTRIAN SRI PLENTONG, 81750",,When available,,,
CENTURY OFFSET & LETTERPRESS SDN. BHD.,JOHOR,Ulu Tiram,"NO. 71, JALAN CEMERLANG, TAMAN PERINDUSTRIAN CEMERLANG, 81800",,When available,,,
CETAK RATU SDN. BHD.,JOHOR,Johor Bahru,"NO. 3, JALAN PERMATANG 17, TAMAN DESA JAYA, 81100",,When available,,,
CHAU YANG PLASTICS INDUSTRY SDN. BHD.,JOHOR,Skudai,"NO. 1, JALAN BISTARI 7, TAMAN INDUSTRI JAYA, 81300",,When available,,,
CHIGA LIGHT INDUSTRIES SDN. BHD.,JOHOR,Batu Pahat,"PLO 15, KAWASAN PERINDUSTRIAN PARIT RAJA, 86400",,When available,,,
CHOICE PRINTING SDN. BHD.,JOHOR,Johor Bahru,"NO.5, JALAN DEWANI 4, KAWASAN PERINDUSTRIAN DEWANI, 81100",,When available,,,
CHOOEXPRESS LABEL SDN. BHD.,JOHOR,Johor Bahru,"NO. 43 & 45, JALAN MUTIARA EMAS 5/6, TAMAN MOUNT AUSTIN, 81100 JOHOR BAHRU",,When available,,,
CHOSEN MANUFACTURING SDN.BHD.,JOHOR,Johor Bahru,"PLO 267,JALAN FIRMA 3, KAWASAN PERINDUSTRIAN TEBRAU IV, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
CHOSEN PLASTIC SDN BHD,JOHOR,Ulu Tiram,"NO. 21, JALAN GEMILANG 1, TAMAN PERINDUSTRIAN CEMERLANG, 81800 ULU TIRAM,",,When available,,,
CLASS FORM PAPER PRODUCTS,JOHOR,Johor Bahru,"NO. 12, JALAN ENAU 4, TAMAN TERATAI, 81110 JOHOR BAHRU, JOHOR.",,When available,,,
CLASSIC ADVANTAGE SDN. BHD.,JOHOR,Senai,"NO. 11, JALAN PERSIARAN TEKNOLOGI, TAMAN TEKNOLOGI JOHOR, 81400",,When available,,,
CLH INDUSTRIES (M) SDN. BHD.,JOHOR,Batu Pahat,"NO. 11, JALAN WAWASAN 2, KAWASAN PERINDUSTRIAN SRI GADING, 83300",,When available,,,
COLOUR OFFSET PRINTING SDN BHD,JOHOR,Skudai,"NO. 15,17,19 DAN 21, JALAN SHAH BANDAR 7, TAMAN UNGKU TUN AMINAH, 81300 SKUDAI, JOHOR BAHRU, JOHOR.",,When available,,,
COLOURFUL PRINTING,JOHOR,Batu Pahat,"NO. 70, JALAN ROTAN BATU, TAMAN SRI JAYA, 83000 BATU PAHAT, JOHOR",,When available,,,
COLOURVIEW PRINTING SDN. BHD.,JOHOR,Masai,"NO.116, JALAN PERMAS 9/7. BANDAR BARU PERMAS JAYA, 81750 MASAI, JOHOR",,When available,,,
COMBRIGHT CORPORATION SDN.BHD.,JOHOR,Muar,"NO. 68, JALAN PESTA, TAMAN TUN DR. ISMAIL (1), 84000 MUAR, JOHOR",,When available,,,
COMDE PRINTERS SDN. BHD.,JOHOR,Johor Bahru,"NO. 16, JALAN BAKAWALI 72, TAMAN JOHOR JAYA 81100",,When available,,,
COMEC TECHNOLOGIES SDN. BHD.,JOHOR,Johor Bahru,"NO. 10, JALAN ARUNG KAWASAN PERINDUSTRIAN TAMAN JOHOR, 81200 JOHOR BAHRU,",,When available,,,
COMPLETE PRINTING & PACKAGING (M) SDN. BHD.,JOHOR,Johor Bahru,"NO. 105, JALAN SEROJA 39, TAMAN JOHOR JAYA, 81100 JOHOR BAHRU, JOHOR",,When available,,,
COMTECH MARKETING SDN. BHD.,JOHOR,Masai,"NO. 2 &4, JALAN BUKIT 8, KAWASAN MIEL, BANDAR SERI ALAM, 81750 MASAI",,When available,,,
COMTEQ INDUSTRIES SDN. BHD.,JOHOR,Ulu Tiram,"NO. 9 & 11, JALAN MAHIR 3, TAMAN PERINDUSTRIAN CEMERLANG, 81800",,When available,,,
CONCEPT PRINTING SDN. BHD.,JOHOR,Johor Bahru,"NO. 12, JALAN WAJA 7, TAMAN PANDAN, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
CORE PAX (M) SDN. BHD.,JOHOR,Pasir Gudang,"PLO 204, JALAN TEMBAGA, KAWASAN PERIND. PASIR GUDANG, 81700",,When available,,,
COSMIC MASTER PRINTING SDN. BHD.,JOHOR,Johor Bahru,"NO. 6, JALAN PERMAS 12/14, BANDAR BARU PERMAS JAYA, 81750",,When available,,,
COURIER PACKAGINGS SDN. BHD.,JOHOR,Batu Pahat,"LOT PT 186, BATU 6, JALAN TANJUNG LABOH, 83000 BATU PAHAT, JOHOR.",,When available,,,
CREATION AD DESIGN & PRINTING,JOHOR,Skudai,"NO. 84, JALAN PERDAGANGAN 3, TAMAN UNIVERSITI, 81300",,When available,,,
CY INDUSTRIES SDN. BHD.,JOHOR,Segamat,"PLO 78, KAWASAN PERINDUSTRIAN, JALAN KEJURUTERAAN 4, 85000 SEGAMAT",,When available,,,
DE TOP PRINTING SOLUTIONS SDN. BHD.,JOHOR,Johor Bahru,"NO. 26,JALAN PERMAS 9/12, TAMAN PERMAS JAYA, 81750 JOHOR BAHRU, JOHOR.",,When available,,,
DINAMIK ERAJAYA SDN. BHD.,JOHOR,Ulu Tiram,"NO. 27, JALAN ISTIMEWA 4, TAMAN PERINDUSTRIAN CEMERLANG, 81800 ULU TIRAM, JOHOR.",,When available,,,
DJ PRINTING SOLUTION,JOHOR,Johor Bahru,"NO. 24, JALAN PERMATANG, TAMAN DESA JAYA, 81100 JOHOR BAHRU, JOHOR",,When available,,,
DMP PLASTIC INDUSTRIES SDN. BHD.,JOHOR,Johor Bahru,"NO. 7, JALAN SRI PURNAMA 2, KAWASAN PERINDUSTRIAN SRI PURNAMA, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
DRAGONPAK INDUSTRIES (M) SDN. BHD.,JOHOR,Johor Bahru,"NO. 28, JALAN BUKIT 2, SERI ALAM, 81750 JOHOR BAHRU, JOHOR",,When available,,,
E SMOL ENTERPRISE,JOHOR,Johor Bahru,"NO. 888, KOMPLEKS MAWAR, JALAN SUNGAI CHAT, 80100 JOHOR BAHRU, JOHOR.",,When available,,,
ECONOMY EXPRESS PRINTING & GRAPHIC ARTS,JOHOR,Skudai,"NO. 6 & 8, JALAN PERDAGANGAN 3, TAMAN UNIVERSITI INDUSTRIAL PARK, 81300",,When available,,,
ELITE CONNECTIONS SDN. BHD.,JOHOR,Johor Bahru,"NO. 38, JALAN CERIA 19, TAMAN NUSA INDAH, 81200 JOHOR BAHRU, JOHOR.",,When available,,,
ENVELOPES FACTORY (MALAYA) SDN. BHD.,JOHOR,Batu Pahat,"NO. 9, JALAN BUDI TENGAH, TAMAN INDUSTRI WAWASAN, 83000",,When available,,,
EVERGREEN ENTERPRISE,JOHOR,Johor Bahru,"NO. 52, JALAN MUTIARA EMAS 5/14, TAMAN MOUNT AUSTIN, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
EVERMAL INDUSTRY SDN. BHD.,JOHOR,Senai,"PLO 92,JALAN CYBER 7, KAWASAN PERINDUSTRIAN SENAI 111, 81400 SENAI, JOHOR.",,When available,,,
FALCON PAPER PRODUCTS SDN. BHD,JOHOR,Johor Bahru,"NO. 14, JALAN PETALING, KAWASAN PERINDUSTRIAN LARKIN, 80350",,When available,,,
FAST ECONOMY SERVICES,JOHOR,Skudai,"NO. 3, JALAN PERDAGANGAN 7, TAMAN UNIVERSITI INDUSTRIAL PARK, 81300 SKUDAI, JOHOR",,When available,,,
FINE ART ENTERPRISE SDN. BHD.,JOHOR,Pontian,"NO. 11, JALAN BENUT UTAMA 1, TAMAN BENUT UTAMA 1, BENUT 82200 PONTIAN, JOHOR",,When available,,,
Firstpack Graphics Sdn. Bhd,JOHOR,Masai,"NO.2, JALAN BAYU 1, BANDAR SERI ALAM, 81750",,When available,,,
FLEXI COMPONENTS SDN. BHD.,JOHOR,Johor Bahru,"LOT 3858, JALAN RIANG UTAMA, TAMAN GEMBIRA, 81200",,When available,,,
FLEXIBLE POLYMER INDUSTRIES SDN. BHD.,JOHOR,Johor Bahru,"NO. 10, JALAN BANANG TIGA, TMN JOHOR INDUSTRIAL AREA, TMN JOHOR, 81200",,When available,,,
FOHMAY PAPER PRODUCTS SDN. BHD.,JOHOR,Pontian,"LOT 2172, API-API, PARIT EMPAT, 82000",,When available,,,
FULLCOLOURS OFFSET PRINTING,JOHOR,Johor Bahru,"NO.24,26 & 28, JALAN MUTIARA EMAS 7/4, TAMAN MOUNT AUSTIN, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
GALAXY CHAMPION SDN. BHD.,JOHOR,Muar,"NO. 1 - 3, TINGKAT BAWAH, PARIT BUNGA, 84900 LEDANG,",,When available,,,
GAN SENG PRINTING (M) SDN. BHD.,JOHOR,Johor Bahru,"LOT 3842, NO. 100, JALAN TAMPOI, 81200",,Printin.com.my,,,
GAYHONG STICKERS & LABELS SDN. BHD.,JOHOR,Johor Bahru,"16, JALAN KEMPAS UTAMA 3/4, TAMAN KEMPAS UTAMA, 81210 JOHOR BAHRU, JOHOR",,When available,,,
GB PAPER PRODUCTS SDN. BHD.,JOHOR,Johor Bahru,"NO. 26 & 28, JALAN RIANG 22/3, TAMAN GEMBIRA, 81200 JOHOR BAHRU",,When available,,,
GENERAL CONTAINER SDN. BHD.,JOHOR,Pasir Gudang,"NO. 80, JALAN TIMAH, PASIR GUDANG INDUSTRIAL ESTATE, 81700 PASIR GUDANG, JOHOR.",,When available,,,
GENERAL LABEL & LABELLING ( JB ) SDN. BHD.,JOHOR,Masai,"NO. 4, JALAN BAYU 3, BANDAR SERI ALAM, 81750",,When available,,,
GG CIRCUITS INDUSTRIES SDN. BHD.,JOHOR,Johor Bahru,"NO. 18, JALAN RIANG UTAMA, GEMBIRA INDUSTRIAL PARK, OFF JALAN TAMPOI, 81200",,When available,,,
GINHUA PSN PRINTING (M) SDN. BHD.,JOHOR,Masai,"NO.4, JALAN SRI PLENTONG 4, TAMAN PERINDUSTRIAN SRI PLENTONG 4, 81750 MASAI, JOHOR.",,When available,,,
GL PRINTING SDN. BHD.,JOHOR,Masai,"NO. 23, 25, 27, 29, 29A & 29B, JALAN MASAI, TAMAN PERINDUSTRIAN KOTA PUTRI SATU, 81750",,When available,,,
GOLDEN RISE PAPER PRODUCTS (M) SDN. BHD.,JOHOR,Kulai,"PTB 1588, BATU 22, JALAN SENGKANG, 81000 KULAIJAYA, JOHOR.",,When available,,,
GRAND PRESSWORK SDN. BHD.,JOHOR,Johor Bahru,"NO. 9, JALAN BUKIT 1, KAWASAN MIEL, BANDAR SERI ALAM, 81750 MASAI, JOHOR.",,When available,,,
GRANDLUXE MALAYSIA SDN. BHD.,JOHOR,Pontian,"NO. 28,JALAN PERINDUSTRIAN 4, KAWASAN PERINDUSTRIAN PONTIAN, BATU 34, JALAN JOHOR, 82000 PONTIAN, JOHOR.",,When available,,,
GREENPAPER PRODUCTS SDN. BHD.,JOHOR,Batu Pahat,"PLO 294, KAWASAN PERINDUSTRIAN SRI GADING, 83300 BATU PAHAT, JOHOR.",,When available,,,
GULAM OFFICE EQUIPMENT & TRADING COMPANY,JOHOR,Johor Bahru,"NO. 10R, JALAN CENDERAWASIH, LARKIN JAYA, 80350 JOHOR BAHRU, JOHOR.",,When available,,,
HARTA FLEKSIPAK SDN. BHD.,JOHOR,Batu Pahat,"PLO 5, KAWASAN PERINDUSTRIAN PARIT RAJA, 86400 BATU PAHAT, JOHOR.",,When available,,,
HARTA PACKAGING INDUSTRIES SDN. BHD.,JOHOR,Batu Pahat,"PLO 7, 9, 12, 32, KAWASAN PERINDUSTRIAN PARIT RAJA, 86400",,When available,,,
HITREND INDUSTRIES SDN. BHD.,JOHOR,Ulu Tiram,"NO. 43, JALAN ISTIMEWA 4, TAMAN PERINDUSTRIAN CEMERLANG, 81800 ULU TIRAM",,When available,,,
HL PACKAGING & INDUSTRY,JOHOR,Johor Bahru,"NO. 30, JALAN KEMPAS 2/4, KAWASAN PERINDUSTRIAN TAMPOI, 81200 JOHOR BAHRU, JOHOR.",,When available,,,
HL PLASTIC INDUSTRIES,JOHOR,Batu Pahat,"NO.1, JALAN BUDI TENGAH 1, TAMAN INDUSTRY WAWASAN 83000",,When available,,,
HM PRINTMATIC (M) SDN.BHD.,JOHOR,Masai,"NO. 5, JALAN BUKIT 5, KAWASAN PERINDUSTRIAN MIEL, BANDAR SERI ALAM, 81750 MASAI, JOHOR.",,When available,,,
HO PRINTING ( MALAYSIA ) SDN. BHD.,JOHOR,Johor Bahru,"NO. 11, JALAN PETALING, LARKIN INDUSTRIAL PARK, 80350",,When available,,,
HO PRINTING ( MALAYSIA ) SDN. BHD.,JOHOR,Johor Bahru,"NO. 11, JALAN PETALING, LARKIN INDUSTRIAL PARK, 80350",,When available,,,
HONG-GUAN PRINTING SDN. BHD.,JOHOR,Skudai,"NO. 14, JALAN PERDAGANGAN 14, TAMAN UNIVERSITI 81300 SKUDAI, JOHOR.",,When available,,,
HONWEE ENTERPRISE SDN. BHD.,JOHOR,Johor Bahru,"PTD 144765, JALAN BERJAYA 8/1, TAMAN PERINDUSTRIAN BERJAYA, KEMPAS LAMA, 81200",,When available,,,
HUAN BOOK-BINDING & PRINTING SDN. BHD.,JOHOR,Batu Pahat,"NO. 18, JALAN JATI, TAMAN BATU PAHAT, 83000 BATU PAHAT, JOHOR.",,When available,,,
HYPER-REGION LABELS SDN. BHD.,JOHOR,Ulu Tiram,"NO. 3 JALAN DESA TROPIKA 1/3, TAMAN PERINDUSTRIAN TROPIKA, 81800 ULU TIRAM, JOHOR.",,When available,,,
HYPER-REGION LABELS SDN. BHD.,JOHOR,Ulu Tiram,"NO. 18, JALAN ISTIMEWA 5, TAMAN PERINDUSTRIAN CEMERLANG, 81800",,When available,,,
IDAMAN PRINTING SOLUTIONS.,JOHOR,Johor Bahru,"27, JALAN SETIA 3/3, TAMAN SETIA INDAH, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
IMAGE PRINTING PRESS & PACKAGING SDN.BHD.,JOHOR,Johor Bahru,"NO. 8, JALAN PERMATANG 2, TAMAN DESA JAYA, 81100 JOHOR BAHRU, JOHOR",,When available,,,
IMPRESSION UNLIMITED CORPORATION SDN.BHD.,JOHOR,Masai,"NO. 10, JALAN KEMPAS 3/5, TAMAN KEMPAS UTAMA, 81200 KEMPAS, JOHOR.",,When available,,,
INDAH KREATIF SDN. BHD.,JOHOR,Segamat,"NO. 6, JLN. CENGAL, OFF JLN. GENUANG, KAMPUNG ABDULLAH, 86000 SEGAMAT, JOHOR.",,When available,,,
IN-GREEN FOCUS PRINTING SDN. BHD.,JOHOR,Johor Bahru,"NO. 45, JALAN MUTIARA EMAS 5/23, TAMAN MOUNT AUSTIN, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
INOVASI CETAK SDN. BHD.,JOHOR,Johor Bahru,"G-09 BLOK C KEDAI JALAN EJ 4/1, TAMAN EHSAN JAYA, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
INTEGRATED SUPPLY CHAIN SDN. BHD.,JOHOR,Gelang Patah,"PLOT D 15 & 17, JALAN TANJUNG A/3, PELABUHAN TANJUNG PELEPAS, 81560 GELANG PATAH, JOHOR.",,When available,,,
INTERNATIONAL PAPER PACKAGING MALAYSIA (JOHOR) SDN. BHD.,JOHOR,Senai,"PLO 59, JALAN PERINDUSTRIAN 4, KAWASAN PERINDUSTRIAN SENAI 2, 81400 SENAI, JOHOR.",,When available,,,
INTERPLUS ENTERPRISE,JOHOR,Muar,"48-24, JALAN SAKEH BARU, TAMAN SAKEH BARU, 84000",,When available,,,
INTERPRESS ENTERPRISE,JOHOR,Skudai,"NO. 3, JALAN SATRIA 16, TAMAN PERINDUSTRIAN JB PERDANA, 81300 SKUDAI, JOHOR.",,When available,,,
INTERSTATE PACKAGES SDN BHD,JOHOR,Pasir Gudang,"PLO 510, JALAN KELULI 3, KAWASAN PERINDUSTRIAN PASIR GUDANG, 81700 PASIR GUDANG,",,When available,,,
IS PREMIER CONTAINER (SOUTH) SDN. BHD.,JOHOR,Johor Bahru,"LOT 1575, JALAN TEMENGGONG 2, KAWASAN PERINDUSTRIAN TEMENGGONG, 81100 JOHOR BAHRU.",,When available,,,
JAYA PAPER PACKAGING SDN. BHD.,JOHOR,Batu Pahat,"NO. 105, JALAN SRI SULONG 1A, TAMAN PERINDUSTRIAN SRI SULONG, 83020 BATU PAHAT, JOHOR.",,When available,,,
JB PAPER CARTON SDN. BHD.,JOHOR,Ulu Tiram,"NO. 9, JALAN MAJU 1, TAMAN PERINDUSTRIAN CEMERLANG, 81800 ULU TIRAM, JOHOR BAHRU",,When available,,,
JINMEI INDUSTRIAL SDN. BHD.,JOHOR,Johor Bahru,"NO. 6, JALAN RIANG 22, TAMAN GEMBIRA, 81200 JOHOR BAHRU, JOHOR",,When available,,,
JOHORE TIN FACTORY SDN. BHD.,JOHOR,Skudai,"PTD 124298, JALAN KEMPAS LAMA, KAMPUNG SEELONG JAYA, 81300",,When available,,,
JOHWA LABELS & STICKERS TRADING,JOHOR,Kluang,"NO. 50, JALAN KINABALU, TAMAN KOPERASI, 86000",,When available,,,
JOSTAR SDN. BHD.,JOHOR,Masai,"NO. 7, JALAN BUKIT 7, KAWASAN MIEL SERI ALAM, 81750",,When available,,,
K. PRINTING & GRAPHIC,JOHOR,Kluang,"NO. 10, JALAN MURNI 1, TAMAN MURNI, 86000 KLUANG, JOHOR.",,When available,,,
KAI PRINTING,JOHOR,Segamat,"NO. 32, JALAN UTAMA 2/7, TAMAN UTAMA, 85000 SEGAMAT, JOHOR",,When available,,,
KAMMAH RUBBER STAMP MAKER & PRINTING SDN BHD,JOHOR,Batu Pahat,"NO. 31 & 32, JALAN ENGAN, 83000 BATU PAHAT, JOHOR",,When available,,,
KAMMAH RUBBER STAMP MAKER & PRINTING SDN BHD,JOHOR,Batu Pahat,"NO. 5, JALAN MURNI 2, TAMAN MURNI, 83000 BATU PAHAT, JOHOR.",,When available,,,
KANGYUEN PRINTING ENTERPRISE SDN. BHD.,JOHOR,Johor Bahru,"NO. 9 & 11, JALAN PERMAS 9/13, BANDAR BARU PERMAS JAYA, 81750",,When available,,,
KEDAI CETAK TANGKAK,JOHOR,Tangkak,"L.C. 282, JALAN MUAR, 84900",,When available,,,
KILANG ENVELOPES LAUTAN SDN. BHD.,JOHOR,Batu Pahat,"NO. 1, JALAN BUDI 19, TAMAN WAWASAN PERINDUSTRIAN, 83000 BATU PAHAT JOHOR",,When available,,,
KJ CAN (JOHORE) SDN. BHD.,JOHOR,Johor Bahru,"NO. 733, JALAN TAMPOI, 81200 JOHOR BAHRU,",,When available,,,
KLUANG PAPER PRODUCT INDUSTRIES SDN.BHD.,JOHOR,Kluang,"LOT 4831, JALAN PADANG TEMBAK, 86000 KLUANG, JOHOR",,When available,,,
KOVAX (MALAYSIA) SDN. BHD.,JOHOR,Pasir Gudang,"PLO 415, JALAN EMAS DUA, KAWASAN PERINDUSTRIAN PASIR GUDANG, 81700 PASIR GUDANG, JOHOR.",,When available,,,
KUMPULAN PENDIDIKAN YPJ SDN. BHD.,JOHOR,Johor Bahru,"KOLEJ KOMUNITI YPJ JALAN JUMAAT, KAMPUNG UNGKU MOHSIN, 80350 JOHOR BAHRU, JOHOR.",,When available,,,
L & A PACKAGING SDN. BHD.,JOHOR,Johor Bahru,"NO. 24 & 26, JALAN TEMENGGONG, MUKIM TEBRAU, 81100 JOHOR BAHRU. NO. 8, JALAN TEMENGGONG 2, MUKIM TEBRAU, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
LABELMATIC INDUSTRY SUPPLIES (M) SDN. BHD.,JOHOR,Johor Bahru,"NO. 23 & 25, JALAN MUTIARA EMAS 5/23, TAMAN MOUNT AUSTIN, 81100",,When available,,,
LASERTECH INDUSTRIES (JOHOR) SDN. BHD.,JOHOR,Johor Bahru,"NO. 27, JALAN SELATAN UTAMA, TAMAN PERUSAHAAN RINGAN PULAI, 81200",,When available,,,
LIAN HWA PRINTING CO. SDN. BHD.,JOHOR,Batu Pahat,"NO. 8-4, JALAN ABU BAKAR 83000 BATU PAHAT",,When available,,,
LIAN SENG HENG PLASTICS INDUSTRY SDN. BHD.,JOHOR,Johor Bahru,"NO. 11, JALAN LAMBAK, TAMAN JOHOR INDUSTRIAL ESTATE, 81200 JOHOR BAHRU, JOHOR",,When available,,,
LIAN TING SDN. BHD.,JOHOR,Johor Bahru,"NO. 6, JALAN MASYHUR 4, TAMAN PERINDUSTRIAN CEMERLANG, ULU TIRAM 81800",,When available,,,
LIDA PLASTICS SDN. BHD.,JOHOR,Johor Bahru,"NO. 2, JALAN BANANG 2, TAMAN JOHOR INDUSTRIAL AREA, 81200 JOHOR BAHRU, JOHOR.",,When available,,,
LINOCRAFT PRINTERS SDN. BHD.,JOHOR,Johor Bahru,"LOT 1769, JALAN BELATI, OFF JALAN KEMPAS LAMA, TAMAN PERINDUSTRIAN MAJU JAYA, 81300 JOHOR BAHRU, JOHOR",,When available,,,
MA SIN THAI SILKSCREEN,JOHOR,Johor Bahru,"NO. 1, JALAN DATARAN 3/4, TAMAN KEMPAS, 81200",,When available,,,
MALAYSIAN PRESS SDN. BHD.,JOHOR,Segamat,"NO. 11, JALAN MENTOL, 85000",,When available,,,
MALEX PAPER PRODUCTS SDN. BHD.,JOHOR,Senai,"PLO 24, KAWASAN PERINDUSTRIAN SENAI, 81400",,When available,,,
MASTER PRINT TRADING,JOHOR,Kulai,"NO. 412, GRD FLR, JLN. KENANGA 29/10, TAMAN INDAHPURA, 81000 KULAI, JOHOR.",,When available,,,
MC PACK (MALAYSIA) SDN. BHD.,JOHOR,Senai,"PLO. 7, JALAN PERSIARAN TEKNOLOGI, TAMAN TEKNOLOGI JOHOR, 81400 SENAI, JOHOR.",,When available,,,
MEGA LABELS & STICKERS SDN. BHD.,JOHOR,Batu Pahat,"LOT 1376, GM 127 MUKIM SIMPANG KANAN, JALAN KLUANG, 83000",,When available,,,
MI-INN (M) SDN.BHD.,JOHOR,Johor Bahru,"NO. 2, JALAN DATARAN 3/3, TAMAN KEMPAS LIGHT INDUSTRIAL, 81200 JOHOR BAHRU, JOHOR.",,When available,,,
MILYPAK PLASTIC INDUSTRIES SDN. BHD.,JOHOR,Ulu Tiram,"NO. 7, JALAN HAJI SAAT / LOT 673, 14 3/4 JALAN SUNGAI TIRAM INDUSTRIAL ZONE, 81800 ULU TIRAM, JOHOR",,When available,,,
MMS PRINTERS SDN. BHD.,JOHOR,Johor Bahru,"NO. 57, JALAN MASAI UTAMA 2, TAMAN MASAI UTAMA, MASAI, 81750 JOHOR BAHRU, JOHOR.",,When available,,,
MOFASTER PRINTING SERVICES SDN. BHD.,JOHOR,Johor Bahru,"NO. 7, JALAN DATARAN 3/3, TAMAN KEMPAS, 81200 JOHOR BAHRU, JOHOR.",,When available,,,
MUAR PRESS,JOHOR,Muar,"NO. 13-5, JALAN MAJIDI, 84000 MUAR, JOHOR.",,When available,,,
MUDA PASIFIK SDN. BHD.,JOHOR,Senai,"PLO 7, JALAN PERSIARAN TEKNOLOGI, TAMAN TEKNOLOGI JOHOR, 81400",,When available,,,
MULTI COLOUR PRINTING,JOHOR,Johor Bahru,"NO. 31, JALAN DEDAP 7, TAMAN JOHOR JAYA, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
MYNA PRINTING SDN. BHD.,JOHOR,Senai,"NO. 102, JALAN BINTANG, TAMAN BINTANG, 81400",,When available,,,
MYT PACKAGING (M) SDN. BHD.,JOHOR,Skudai,"NO. 53 & 55, JALAN SATRIA 8, JB PERDANA INDUSTRIAL PARK, 81300",,When available,,,
NAM SING INDUSTRIES (M) SDN. BHD.,JOHOR,Johor Bahru,"NO. 115, JALAN SEROJA 39, TAMAN JOHOR JAYA, 81100 JOHOR BAHRU, JOHOR.",,When available,,,
NETSHOP ENTERPRISE,JOHOR,Skudai,"NO. 106-A, JALAN PERWIRA 1, TAMAN UNGKU TUN AMINAH, 81300 SKUDAI, JOHOR",,When available,,,
NEW OCEAN PRINTERS & CO.,JOHOR,Kulai,"NO. 16, KULAI BESAR, 81000 KULAI, JOHOR. LOT 2234, BATU 26 1/4, KELAPA SAWIT, 81030 KULAI, JOHOR",,When available,,,
NGAI WAH PRINTING CO.,JOHOR,Muar,"NO. 63, JALAN MAHARANI, 84000",,When available,,,
NICE QUALITY PRODUCER SDN. BHD.,JOHOR,Johor Bahru,"NO. 37, JALAN MUTIARA EMAS 6/4, TAMAN MOUNT AUSTIN, 81100 JOHOR BAHRU, JOHOR",,When available,,,
NIKKO PACKAGING SDN. BHD.,JOHOR,Johor Bahru,"NO.3, JALAN BELATI 1, TAMAN PERINDUSTRIAN MAJU JAYA, 81330",,When available,,,
NM PACKAGING (M) SDN. BHD.,JOHOR,Senai,"PLO 72, FASA 3, KAWASAN PERINDUSTRIAN SENAI, 81400",,When available,,,
NOVA PRINTING SDN. BHD.,JOHOR,Johor Bahru,"NO. 50, JALAN MUTIARA EMAS 5/14, TAMAN MOUNT AUSTIN, 81100",,When available,,,
OPI PLASTIC INDUSTRIES SDN. BHD.,JOHOR,Johor Bahru,"25 JALAN ARUNG, TAMAN JOHOR INDUSTRIES ESTATE, 81200",,When available,,,
OREN PRINTING SDN. BHD.,JOHOR,Masai,"NO. 34, JALAN PENAGA 10, TAMAN PERINDUSTRIAN KOTA PUTRI, 81750 MASAI, JOHOR.",,When available,,,
ORIENTAL ART PRINTING ENTERPRISE SDN. BHD.,JOHOR,Batu Pahat,"NO. 3 & 4, JALAN EMAS JAYA, TAMAN INDUSTRI EMAS JAYA, TONGKANG PECAH, 83010",,When available,,,
